排名,电影名,导演,主演,年份,国家/地区,评分,评价人数,简介,封面链接
39,海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,/... / 德国 瑞士 / 剧情 冒险 家庭,2015,阿努克·斯特芬 Anuk Steffen,9.3,791526,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
40,素媛,李濬益 Jun-ik Lee,/ 严志媛 Ji-won Uhm ... / 韩国 / 剧情,2013,薛景求 Kyung-gu Sol,9.3,781037,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
41,猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,/ 美国 加拿大 / 传记 犯罪 剧情,2002,莱昂纳多·迪卡普里奥 L...,9.1,1220599,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
42,天空之城,宫崎骏 Hayao Miyazaki,/ 横泽启子 Ke... / 日本 / 动画 奇幻 冒险,1986,田中真弓 Mayumi Tanaka,9.2,1015174,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.jpg
43,鬼子来了,姜文 Wen Jiang,/ 香川照之 Teruyuki Kagawa /... / 中国大陆 / 剧情 喜剧,2000,姜文 Wen Jiang,9.3,720195,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2930874010.jpg
44,摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,/ 法缇玛... / 印度 / 剧情 传记 运动 家庭,2016,阿米尔·汗 Aamir Khan,9.0,1755749,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
45,少年派的奇幻漂流,李安 Ang Lee,/ 伊尔凡·可汗 Irrfan... / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,2012,苏拉·沙玛 Suraj Sharma,9.1,1497030,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
46,钢琴家,罗曼·波兰斯基 Roman Polanski,/ 英国 法国 波兰 德国 美国 / 剧情 传记 战争 音乐,2002,艾德里安·布洛迪 Adrien Brod...,9.3,755280,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg
47,死亡诗社,彼得·威尔 Peter Weir,/ 罗伯... / 美国 / 剧情,1989,罗宾·威廉姆斯 Robin Williams,9.2,891934,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
48,指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,/ 西恩... / 美国 新西兰 / 剧情 动作 奇幻 冒险,2002,伊利亚·伍德 Elijah Wood,9.2,863261,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg
49,大话西游之月光宝盒,刘镇伟 Jeffrey Lau,/ 吴孟达 Man Tat Ng... / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,1995,周星驰 Stephen Chow,9.0,1373856,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
50,绿皮书,彼得·法雷里 Peter Farrelly,/... / 美国 中国大陆 / 剧情 喜剧 传记 音乐,2018,维果·莫腾森 Viggo Mortensen,8.9,1905665,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg
51,何以为家,娜丁·拉巴基 Nadine Labaki,/ ... / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情,2018,扎因·拉费阿 Zain al-Rafeea,9.1,1168051,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2875749222.jpg
52,闻香识女人,马丁·布莱斯 Martin Brest,/ 克里斯... / 美国 / 剧情,1992,阿尔·帕西诺 Al Pacino,9.1,1030000,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
53,大闹天宫,万籁鸣 Laiming Wan,/ 富润生 Runsheng Fu...(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装,1961,邱岳峰 Yuefeng Qiu,9.4,513789,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
54,黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...1999 / 美国 / 动作 科幻,,,,9.1,957440,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
55,指环王1：护戒使者,彼得·杰克逊 Peter Jackson,/ 西恩... / 新西兰 美国 英国 / 剧情 动作 奇幻 冒险,2001,伊利亚·伍德 Elijah Wood,9.1,966790,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg
56,罗马假日,威廉·惠勒 William Wyler,/ 格... / 美国 / 喜剧 剧情 爱情,1953,奥黛丽·赫本 Audrey Hepburn,9.1,1053714,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
57,教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,/ 美国 / 剧情 犯罪,1974,阿尔·帕西诺 A...,9.3,645413,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
58,狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,/ 美国 / 动画 冒险 歌舞,1994,乔纳森·泰勒·托马...,9.1,967367,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg
59,天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,/ 意大利 法国 / 剧情 爱情,1988,菲利普·努瓦雷 Philipp...,9.2,745798,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg
60,饮食男女,李安 Ang Lee,/ 杨贵媚 Kuei-Mei Yang / 吴... / 中国台湾 美国 / 剧情 家庭,1994,郎雄 Sihung Lung,9.2,732211,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
61,辩护人,杨宇硕 Woo-seok Yang,/ 金英爱 Yeong-ae... / 韩国 / 剧情,2013,宋康昊 Kang-ho Song,9.2,661256,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
62,本杰明·巴顿奇事,大卫·芬奇 David Fincher,/ 凯特·布... / 美国 / 剧情 爱情 奇幻,2008,布拉德·皮特 Brad Pitt,9.0,1111968,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
63,搏击俱乐部,大卫·芬奇 David Fincher,/ 布拉... / 美国 / 剧情 动作 悬疑 惊悚,1999,爱德华·诺顿 Edward Norton,9.0,984226,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg
64,美丽心灵,朗·霍华德 Ron Howard,/ 艾德·哈... / 美国 / 传记 剧情,2001,罗素·克劳 Russell Crowe,9.1,857844,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
65,穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,/ 英国 美国 / 剧情 战争,2008,阿萨·巴特菲尔德 Asa Butterfield ...,9.2,645939,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
66,哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,/ 美国 英国 / 奇幻 冒险,2011,丹尼尔·雷德克里夫 Daniel Radcliffe...,9.0,977868,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913457020.jpg
67,两杆大烟枪,盖·里奇 Guy Ritchie,/ 德克斯特... / 英国 / 剧情 喜剧 犯罪,1998,杰森·弗莱明 Jason Flemyng,9.1,683229,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
68,情书,岩井俊二 Shunji Iwai,/ 丰川悦司 Ets... / 日本 / 剧情 爱情,1995,中山美穗 Miho Nakayama,8.9,1335755,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
69,功夫,周星驰 Stephen Chow,/ 元秋 Qiu Yuen / ... / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,2004,周星驰 Stephen Chow,8.9,1348867,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
70,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...2006 / 德国 / 剧情 悬疑,,,,9.2,636150,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
71,音乐之声,罗伯特·怀斯 Robert Wise,/ 克... / 美国 / 剧情 传记 爱情 歌舞,1965,朱莉·安德鲁斯 Julie Andrews,9.1,688847,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2585102899.jpg
72,哈利·波特与阿兹卡班的囚徒,阿方索·卡隆 Alfonso Cuarón,/ 英国 美国 / 奇幻 冒险,2004,丹尼尔·雷德克里夫 Daniel Rad...,9.0,898723,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.jpg
